City_ID,City,Country,Max Temp,Lat,Lng,Current Description,Hotel Name
0,san ignacio,BZ,78.8,17.1561,-89.0714,scattered clouds,Rainforest Haven Inn
2,cape town,ZA,63.0,-33.9258,18.4232,clear sky,Southern Sun Waterfront Cape Town
3,rikitea,PF,71.44,-23.1203,-134.9692,heavy intensity rain,Pension Maro'i
6,kapaa,US,78.8,22.0752,-159.319,broken clouds,Sheraton Kauai Resort at Coconut Beach
7,saint-philippe,RE,77.0,-21.3585,55.7679,overcast clouds,"Chambres d'hôte ""La Trinité"""
9,mayumba,GA,77.76,-3.432,10.6554,light rain,LIKWALE LODGE
10,airai,TL,65.59,-8.9266,125.4092,overcast clouds,Juvinal Martin
12,new norfolk,AU,73.0,-42.7826,147.0587,overcast clouds,The Shingles Riverside Cottages
14,port alfred,ZA,66.2,-33.5906,26.891,light rain,The Halyards Hotel
15,bubaque,GW,75.25,11.2833,-15.8333,clear sky,"Casa Dora, Bubaque"
16,san marcos,US,71.01,33.1434,-117.1661,clear sky,Hampton Inn San Marcos
17,carnarvon,AU,86.0,-24.8667,113.6333,clear sky,Hospitality Carnarvon
19,bambous virieux,MU,75.99,-20.3428,57.7575,light rain,Casa Tia Villa
21,benjamin constant,BR,77.0,-4.3831,-70.0311,clear sky,CASA AVALIADA
23,vaini,TO,86.0,-21.2,-175.2,light rain,Keleti Beach Resort
25,saint-pierre,RE,77.0,-21.3393,55.4781,overcast clouds,Lindsey Hôtel
27,rockport,US,62.01,28.0206,-97.0544,clear sky,Holiday Inn Express & Suites Rockport - Bay View
28,atuona,PF,81.25,-9.8,-139.0333,broken clouds,Villa Enata
30,vanimo,PG,80.51,-2.6741,141.3028,overcast clouds,Vahmoneh Lodge Vanimo
31,umm lajj,SA,67.57,25.0213,37.2685,clear sky,Moon light Furnished Units
32,busselton,AU,70.0,-33.65,115.3333,scattered clouds,Observatory Guest House
33,puerto ayora,EC,77.0,-0.7393,-90.3518,broken clouds,Finch Bay Galapagos Hotel
34,flinders,AU,78.01,-34.5833,150.8552,scattered clouds,Shellharbour Resort & Conference Centre
36,port macquarie,AU,77.0,-31.4333,152.9167,scattered clouds,Rydges Port Macquarie
41,ixtapa,MX,73.4,20.7,-105.2,clear sky,Hotel Plaza Providencia
43,isangel,VU,84.18,-19.55,169.2667,moderate rain,Volcano Sea View Tree House
44,ewa beach,US,82.4,21.3156,-158.0072,few clouds,Uncle Junior Robert
45,hobart,AU,71.01,-42.8794,147.3294,broken clouds,Mantra on Collins Hobart
46,geraldton,AU,84.2,-28.7667,114.6,clear sky,Broadwater Mariner Resort
47,saint-paul,RE,73.4,-21.0096,55.2707,scattered clouds,Boucan Canot
48,pisco,PE,69.8,-13.7,-76.2167,clear sky,Hotel San Isidro Oficial
53,lompoc,US,68.0,34.6391,-120.4579,clear sky,Holiday Inn Express Lompoc
54,georgetown,MY,89.01,5.4112,100.3354,few clouds,Cititel Penang
57,bacolod,PH,86.18,10.6667,122.95,overcast clouds,Planta Hotel & Residences
62,axim,GH,78.48,4.8699,-2.2405,clear sky,AXIM BEACH RESORT AND SPA
63,nouadhibou,MR,66.2,20.931,-17.0347,sand,El Medina
65,mount gambier,AU,87.8,-37.8333,140.7667,clear sky,Commodore on the Park
69,bredasdorp,ZA,60.8,-34.5322,20.0403,overcast clouds,Bredasdorp Country Manor
71,beloha,MG,70.14,-25.1667,45.05,clear sky,
72,marsh harbour,BS,73.62,26.5412,-77.0636,scattered clouds,Abaco Beach Resort
75,salinopolis,BR,77.16,-0.6136,-47.3561,overcast clouds,Salinas Park Resort Maçarico AP101
77,algiers,DZ,62.6,36.7525,3.042,scattered clouds,Sofitel Algiers Hamma Garden
78,tres arroyos,AR,60.8,-38.3739,-60.2798,overcast clouds,Habitacion Triple con baño y entrada privada
79,arraial do cabo,BR,75.97,-22.9661,-42.0278,few clouds,Pousada Porto Praia
80,alofi,NU,82.4,-19.0595,-169.9187,scattered clouds,Taloa Heights
81,kushima,JP,68.0,31.4583,131.2333,broken clouds,Hanaoka
84,patea,NZ,64.99,-39.7583,174.4833,broken clouds,Patea Rest N Fresh
86,kavieng,PG,84.96,-2.5744,150.7967,light rain,Nusa Island Retreat
87,codrington,AU,85.48,-38.2667,141.9667,clear sky,Codrington Gardens Bed And Breakfast
89,beberibe,BR,81.0,-4.1797,-38.1306,few clouds,Villa Arte Pousada Morro Branco
91,hermanus,ZA,60.01,-34.4187,19.2345,overcast clouds,Misty Waves Boutique Hotel
93,saint george,US,70.0,37.1041,-113.5841,clear sky,Best Western Plus Abbey Inn
96,maine-soroa,NE,69.67,13.2114,12.0241,clear sky,Complexe
98,katsuura,JP,68.0,35.1333,140.3,scattered clouds,Katsuura Hotel Mikazuki
99,avarua,CK,84.2,-21.2078,-159.775,broken clouds,Paradise Inn
101,placido de castro,BR,72.61,-10.3353,-67.1856,overcast clouds,Hotel Carioca
103,victoria,HK,84.0,22.2855,114.1577,clear sky,Mini Hotel Central
104,hithadhoo,MV,83.84,-0.6,73.0833,broken clouds,Scoop Guest House
107,luganville,VU,86.38,-15.5333,167.1667,broken clouds,The Espiritu Hotel
109,dalby,AU,73.4,-27.1833,151.2667,broken clouds,Kobbers Motor Inn Dalby
111,ahipara,NZ,68.2,-35.1667,173.1667,clear sky,Ahipara Holiday Park
113,burnie,AU,67.17,-41.0667,145.9167,overcast clouds,Beachfront Voyager Motor Inn
115,angoche,MZ,75.92,-16.2325,39.9086,broken clouds,Guest House HESADA
119,moree,AU,80.6,-29.4667,149.85,clear sky,Molika Springs Motel
120,cidreira,BR,69.78,-30.1811,-50.2056,scattered clouds,Hotel Castelo
121,iguape,BR,70.41,-24.7081,-47.5553,scattered clouds,Hotel Pousada Nossa Senhora do Carmo
