City_ID,City,Lat,Lng,Max Temp,Current Description,Rain (inches),Snow (inches),Humidity,Cloudiness,Wind Speed,Country
0,san ignacio,17.1561,-89.0714,78.8,scattered clouds,0.0,0.0,69,40,6.91,BZ
1,marienburg,54.0359,19.0266,36.0,few clouds,0.0,0.0,100,16,6.35,PL
2,cape town,-33.9258,18.4232,63.0,clear sky,0.0,0.0,82,0,6.91,ZA
3,rikitea,-23.1203,-134.9692,71.44,heavy intensity rain,4.4,0.0,91,100,3.91,PF
4,deputatskiy,69.3,139.9,6.67,overcast clouds,0.0,0.0,88,100,2.84,RU
5,haines junction,60.7522,-137.5108,26.6,light snow,0.0,0.13,50,100,12.66,CA
6,kapaa,22.0752,-159.319,78.8,broken clouds,0.0,0.0,65,75,18.41,US
7,saint-philippe,-21.3585,55.7679,77.0,overcast clouds,0.0,0.0,73,90,10.36,RE
8,thompson,55.7435,-97.8558,39.2,overcast clouds,0.0,0.0,52,90,2.3,CA
9,mayumba,-3.432,10.6554,77.76,light rain,0.25,0.0,87,95,5.35,GA
10,airai,-8.9266,125.4092,65.59,overcast clouds,0.0,0.0,88,100,3.33,TL
11,norman wells,65.282,-126.8329,5.0,snow,0.0,0.11,72,90,14.97,CA
12,new norfolk,-42.7826,147.0587,73.0,overcast clouds,0.0,0.0,44,99,1.63,AU
13,mataura,-46.1927,168.8643,55.99,clear sky,0.0,0.0,64,8,18.01,NZ
14,port alfred,-33.5906,26.891,66.2,light rain,0.12,0.0,91,100,6.22,ZA
15,bubaque,11.2833,-15.8333,75.25,clear sky,0.0,0.0,74,1,13.65,GW
16,san marcos,33.1434,-117.1661,71.01,clear sky,0.0,0.0,42,1,8.05,US
17,carnarvon,-24.8667,113.6333,86.0,clear sky,0.0,0.0,66,2,4.61,AU
18,severnoye,56.3491,78.3619,24.17,snow,0.0,0.52,95,100,15.3,RU
19,bambous virieux,-20.3428,57.7575,75.99,light rain,0.15,0.0,100,75,1.14,MU
20,albany,42.6001,-73.9662,32.0,scattered clouds,0.0,0.0,58,42,1.99,US
21,benjamin constant,-4.3831,-70.0311,77.0,clear sky,0.0,0.0,100,0,2.3,BR
22,qaanaaq,77.484,-69.3632,5.77,overcast clouds,0.0,0.0,98,100,3.69,GL
23,vaini,-21.2,-175.2,86.0,light rain,0.5,0.0,74,75,5.75,TO
24,upernavik,72.7868,-56.1549,-1.52,light snow,0.0,0.42,97,100,22.95,GL
25,saint-pierre,-21.3393,55.4781,77.0,overcast clouds,0.0,0.0,73,90,10.36,RE
26,ancud,-41.8697,-73.8203,55.99,overcast clouds,0.0,0.0,94,90,2.3,CL
27,rockport,28.0206,-97.0544,62.01,clear sky,0.0,0.0,55,1,6.91,US
28,atuona,-9.8,-139.0333,81.25,broken clouds,0.0,0.0,78,76,13.29,PF
29,fortuna,40.5982,-124.1573,52.0,clear sky,0.0,0.0,100,1,9.22,US
30,vanimo,-2.6741,141.3028,80.51,overcast clouds,0.0,0.0,84,96,2.73,PG
31,umm lajj,25.0213,37.2685,67.57,clear sky,0.0,0.0,41,0,13.98,SA
32,busselton,-33.65,115.3333,70.0,scattered clouds,0.0,0.0,82,36,5.01,AU
33,puerto ayora,-0.7393,-90.3518,77.0,broken clouds,0.0,0.0,96,71,1.99,EC
34,flinders,-34.5833,150.8552,78.01,scattered clouds,0.0,0.0,68,27,5.01,AU
35,yar-sale,66.8333,70.8333,22.39,overcast clouds,0.0,0.0,95,100,5.66,RU
